prop:det-coeff-invariant	chap2.tex	4297	myprop
prop:exp	chap2.tex	1197	myprop
prop:fundamental-vecf-basic	chap2.tex	1557	myprop
prop:horizontal-lift-init	chap2.tex	2910	myprop
prop:infinitesimal-generator-R	chap2.tex	1527	myprop
prop:inv-complex	chap2.tex	4331	myprop
prop:inv-ortho	chap2.tex	4450	myprop
prop:inv-real	chap2.tex	4398	myprop
prop:LieAlg	chap2.tex	1005	myprop
prop.cocycle	chap2.tex	624	myprop
subfig.fiber-l	chap2.tex	581	label
subfig.fiber-lm	chap2.tex	603	label
subfig.fiber-m	chap2.tex	592	label
thm:codv-assoc-HL	chap2.tex	3439	mytheo
thm:codv-assoc-local	chap2.tex	3488	mytheo
thm:curvature-assoc	chap2.tex	3706	mytheo
thm:curvature-assoc-local	chap2.tex	3767	mytheo
thm:curvature-local	chap2.tex	3375	mytheo
thm:induced-LieAlg-hom	chap2.tex	1102	mytheo
thm:principal	chap2.tex	754	mytheo
cmtd:pullback-bundle	chap3.tex	2002	label
conj:Freed-Hopkins	chap3.tex	1910	myconj
def:0form-order-param	chap3.tex	1422	label
def:extGrp	chap3.tex	2966	mydef
def:gauged-isom	chap3.tex	3698	mydefph
def:hg-extended-lattice	chap3.tex	2983	mydef
def:path2grpd	chap3.tex	3154	mydef
def:pform-order-param	chap3.tex	1653	label
eq:0-form-topo-ops	chap3.tex	1287	label
eq:1form-finite-flat	chap3.tex	2915	label
eq:1form-flat	chap3.tex	2908	label
eq:1form-moduli	chap3.tex	2924	label
eq:1form-univ	chap3.tex	2887	label
eq:BF-1	chap3.tex	2831	label
eq:BF-1-eom	chap3.tex	2849	label
eq:BF-1-gauge	chap3.tex	2853	label
eq:BF-1-tHooft	chap3.tex	2863	label
eq:BF-1-W1	chap3.tex	2816	label
eq:BF-1-W2	chap3.tex	2821	label
eq:BF-4D-1	chap3.tex	7787	label
eq:BF-4D-2	chap3.tex	7809	label
eq:BF-4D-3	chap3.tex	7821	label
eq:CB-functor	chap3.tex	3929	label
eq:change-of-dims	chap3.tex	7240	label
eq:cocycle-discrete	chap3.tex	2659	label
eq:cocycle-generalized	chap3.tex	7902	label
eq:connection-Wilsonline	chap3.tex	2476	label
eq:conservation-Noether	chap3.tex	1138	label
eq:conservation-Noether-df	chap3.tex	1230	label
eq:contraction	chap3.tex	5886	label
eq:contraction-bdy	chap3.tex	7061	label
eq:coordinate-coset1	chap3.tex	1515	label
eq:def-classical-sym	chap3.tex	1112	label
eq:def-Intersection	chap3.tex	1050	label
eq:discrete-theta	chap3.tex	7790	label
eq:DW-action	chap3.tex	2670	label
eq:DW-partition-func	chap3.tex	2616	label
eq:EL	chap3.tex	1098	label
eq:F-symbol	chap3.tex	7507	label
eq:finiteG-groupcohomology	chap3.tex	2415	label
eq:g-mixed	chap3.tex	7889	label
eq:gauge-transform-trivial	chap3.tex	2494	label
eq:generator-Q	chap3.tex	1169	label
eq:hg-ansatz	chap3.tex	3013	label
eq:hg-degen	chap3.tex	3055	label
eq:hg-face	chap3.tex	3054	label
eq:hg-p-A	chap3.tex	2988	label
eq:hg-p-g	chap3.tex	3008	label
eq:LeastAction	chap3.tex	1093	label
eq:LES-coGrp	chap3.tex	2368	label
eq:modulispace-of-flatconnection	chap3.tex	2525	label
eq:Muger	chap3.tex	3829	label
eq:NG-rel-1	chap3.tex	1472	label
eq:NG-rel-2	chap3.tex	1485	label
eq:NGB-matter	chap3.tex	1577	label
eq:NGB-transform	chap3.tex	1525	label
eq:Noether-charge-df	chap3.tex	1236	label
eq:Noether-current	chap3.tex	1128	label
eq:Noether-current-ex3-1	chap3.tex	1193	label
eq:number-of-balls	chap3.tex	7221	label
eq:preTV-cob	chap3.tex	7155	label
eq:quasi-conservation-Noether	chap3.tex	1133	label
eq:simphg-flat	chap3.tex	2995	label
eq:SUn-local-dof	chap3.tex	7873	label
eq:transform-3-1	chap3.tex	1206	label
eq:TV-mm	chap3.tex	7329	label
eq:TV-oo	chap3.tex	7323	label
eq:univ-coeff	chap3.tex	2288	label
eq:univ-coeff-co	chap3.tex	2315	label
eq:var-action	chap3.tex	1084	label
eq:Wilson-1	chap3.tex	7832	label
eq:Wilson-2	chap3.tex	7833	label
ex:3-1	chap3.tex	1174	myexample
ex:3-2	chap3.tex	1320	myexample
ex:4dYM-1formSSB	chap3.tex	1701	myexample
ex:anomaly-p-formQED	chap3.tex	1927	myexample
ex:BF-4D	chap3.tex	7784	myexample
ex:CGa	chap3.tex	3220	myexample
ex:chiral-anomaly	chap3.tex	1846	myexample
ex:Cob-braided	chap3.tex	478	myexample
ex:Cob-closed	chap3.tex	731	myexample
ex:Cob-dagger	chap3.tex	816	myexample
ex:DW-Riemannian	chap3.tex	2675	myexample
ex:gaiging-RepG	chap3.tex	3673	myexample
ex:gaiging-VecG	chap3.tex	3409	myexample
ex:gauging-VecG	chap3.tex	3622	myexample
ex:Hilb-braided	chap3.tex	519	myexample
ex:Hilb-closed	chap3.tex	777	myexample
ex:Hilb-dagger	chap3.tex	821	myexample
